trade_date,flow_date,product,hub,side,price,settle,mwh,pnl,cum_pnl
3/24/2026,3/24/2026,Peak Futures,PJM WH RT,Bought,50.5,51.11114137,800,488.9131,$488.91 
3/24/2026,3/24/2026,Peak Futures,PJM WH RT,Sold,43.5,51.11114137,800,-6088.9131,"($5,600.00)"
3/26/2026,3/27/2026,Peak Futures,PJM WH DA (Daily),Sold,48,54.54401544,800,-5235.21235,"($10,835.21)"
3/26/2026,3/27/2026,Peak Futures,PJM WH DA (Daily),Sold,50.5,54.54401544,800,-3235.21235,"($14,070.42)"
4/8/2026,4/9/2026,Peak Futures,PJM WH DA (Daily),Sold,46.75,42.72643988,800,3218.8481,"($10,851.58)"
4/8/2026,4/9/2026,Peak Futures,PJM WH DA (Daily),Sold,47,42.72643988,800,3418.8481,"($7,432.73)"
4/14/2026,4/15/2026,Peak Futures,PJM WH DA (Daily),Sold,119.5,108.6602043,800,8671.83655,"$1,239.11 "
4/21/2026,4/22/2026,Peak Futures,PJM WH RT,Sold,59.35,73.81683513,800,-11573.4681,"($10,334.36)"
4/21/2026,4/22/2026,Peak Futures,PJM WH RT,Sold,59.35,73.81683513,800,-11573.4681,"($21,907.83)"
4/22/2026,4/22/2026,Peak Futures,PJM WH RT,Bought,65.1,73.81683513,800,6973.4681,"($14,934.36)"
4/22/2026,4/22/2026,Peak Futures,PJM WH RT,Bought,65.1,73.81683513,800,6973.4681,"($7,960.89)"
4/29/2026,4/30/2026,Peak Futures,PJM WH DA (Daily),Sold,56.75,43.009138,800,10992.6896,"$3,031.80 "
4/29/2026,4/30/2026,Peak Futures,PJM WH DA (Daily),Sold,56.75,43.009138,800,10992.6896,"$14,024.49 "
4/30/2026,5/1/2026,Peak Futures,PJM WH DA (Daily),Bought,46.75,45.02586231,800,-1379.31015,"$12,645.18 "
4/30/2026,5/1/2026,Peak Futures,PJM WH DA (Daily),Bought,46.75,45.02586231,800,-1379.31015,"$11,265.87 "
5/1/2026,5/4/2026,Peak Futures,PJM WH DA (Daily),Sold,48,52.20997431,800,-3367.97945,"$7,897.89 "
